train_loss,valid_loss
0.570241,1.042190
0.543131,0.932344
0.492847,0.815517
0.443538,0.799535
0.410200,0.807989
0.380845,0.809367
0.354665,0.812396
0.336835,0.870519
0.315148,0.825245
0.303089,0.874937
0.293170,0.891682
0.285232,0.873635
0.277227,0.802164
0.269944,0.890866
0.263934,0.926079
0.258390,0.873285
0.253874,0.819848
0.249201,0.845860
0.245228,0.849971
0.242331,0.886745
0.238977,0.846610
0.236418,0.861461
0.233841,0.859181
0.232203,0.864143
0.231301,0.855728
0.230557,0.858811
0.229681,0.854385
0.228712,0.864190
0.228654,0.864684
0.228637,0.869156
