train_loss,valid_loss
0.554525,1.067626
0.525545,0.937700
0.446227,0.789152
0.378389,1.256712
0.338763,0.922264
0.310636,0.832080
0.283073,0.910382
0.266871,0.909915
0.256539,0.811063
0.242796,1.082683
0.234745,0.850977
0.229703,0.824626
0.224459,0.816710
0.217605,0.793236
0.212656,0.808487
0.208721,0.813645
0.205169,0.804605
0.201524,0.794979
0.197691,0.789696
0.194573,0.832025
0.191981,0.816654
0.190197,0.793819
0.187676,0.804732
0.186294,0.793997
0.184628,0.804971
0.183695,0.800832
0.183223,0.808495
0.182412,0.802563
0.182053,0.812197
0.181894,0.806868
