train_loss,valid_loss
0.654964,1.420760
0.626276,1.741770
0.562038,4.219766
0.533492,2.222968
0.501532,2.023762
0.473953,1.629024
0.462567,2.215163
0.475583,1.737134
0.457948,1.566117
0.436553,1.542334
0.412696,2.079559
0.400235,1.590501
0.392997,1.439662
0.388923,1.539868
0.385160,1.430097
0.380607,1.358164
0.375975,1.402501
0.363893,1.424848
0.342484,1.248868
0.325837,1.282102
0.320320,1.267300
0.314891,1.246824
0.310442,1.252214
0.305978,1.242100
0.304001,1.250350
0.301682,1.245174
0.300501,1.244985
0.298286,1.244520
0.298584,1.232405
0.297962,1.238731
