train_loss,valid_loss
0.569225,1.271939
0.556965,1.259764
0.505081,1.207754
0.449297,1.156437
0.386251,1.612907
0.343826,1.308800
0.311755,1.081100
0.294837,1.037704
0.279341,1.007731
0.264594,1.112366
0.256006,1.072946
0.247509,1.016472
0.239482,1.131595
0.234434,1.096249
0.230755,1.038063
0.226245,1.024449
0.221723,1.074126
0.219059,1.032643
0.216882,1.082210
0.215316,1.079030
0.212601,1.026631
0.210644,1.037695
0.209365,1.017348
0.208406,1.025868
0.206603,1.023581
0.205822,1.024530
0.205556,1.025978
0.205099,1.032365
0.204652,1.026295
0.204307,1.027371
