train_loss,valid_loss
0.560152,1.150286
0.549034,1.139905
0.540419,1.111680
0.497207,1.616662
0.407751,4.525839
0.357742,1.202028
0.346917,0.831233
0.310224,0.811029
0.295297,1.092872
0.302369,1.564543
0.300064,0.859353
0.278691,0.831477
0.270960,0.868111
0.267725,0.861400
0.265976,0.942246
0.261584,0.896895
0.262483,0.892928
0.256965,0.843838
0.254435,1.057905
0.259277,0.850022
0.248251,0.842272
0.244471,0.968436
0.249294,0.881804
0.242697,0.862808
0.240268,0.876284
0.240472,0.863783
0.239002,0.862374
0.239047,0.857175
0.238367,0.856172
0.238197,0.864877
