train_loss,valid_loss
0.686166,0.856766
0.670997,0.849155
0.660784,0.853706
0.621548,2.385655
0.584004,1.278976
0.573874,1.554846
0.566031,0.920870
0.563234,1.129149
0.561764,0.893454
0.557817,1.041003
0.553942,1.187133
0.551935,0.982249
0.548953,1.010166
0.547145,0.979913
0.546120,0.998177
0.545660,0.955253
0.545484,0.901374
0.544568,0.896300
0.543868,0.924790
0.543393,1.066310
0.542923,0.937950
0.542659,1.032785
0.542566,0.923595
0.542065,0.928593
0.541843,0.915956
0.541694,0.917744
0.541572,0.935031
0.541285,0.925453
0.541207,0.912707
0.541267,0.922633
